Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mozambique,22276596.0,22894710.0,23531574.0,24187487.0,24862648.0,25560725.0,26286163.0,27042002.0,27829942.0,28649007.0,29495962.0,29495962.0
Mauritania,3296238.0,3393409.0,3494195.0,3598648.0,3706554.0,3817494.0,3930896.0,4046301.0,4163534.0,4282574.0,4403319.0,4403319.0
Mauritius,1244121.0,1247429.0,1250400.0,1252404.0,1255882.0,1258653.0,1260934.0,1262605.0,1263473.0,1264613.0,1265303.0,1265303.0
Malawi,13727890.0,14128155.0,14539612.0,14962112.0,15396005.0,15839269.0,16289540.0,16745303.0,17205289.0,17670260.0,18143315.0,18143315.0
Malaysia,27236006.0,27735040.0,28208035.0,28650955.0,29068159.0,29468872.0,29866559.0,30270962.0,30684804.0,31105028.0,31528585.0,31528585.0
Namibia,2043394.0,2081044.0,2118874.0,2156701.0,2194784.0,2233510.0,2273430.0,2314904.0,2358041.0,2402603.0,2448255.0,2448255.0
New Caledonia,242750.0,245950.0,249750.0,254350.0,259000.0,263650.0,268050.0,272400.0,276550.0,280350.0,284060.0,284060.0
Niger,15250908.0,15843133.0,16464025.0,17114761.0,17795191.0,18504255.0,19240157.0,20001663.0,20788838.0,21602472.0,22442948.0,22442948.0
Nigeria,150269623.0,154324933.0,158503197.0,162805071.0,167228767.0,171765769.0,176404902.0,181137448.0,185960289.0,190873311.0,195874740.0,195874740.0
Nicaragua,5667432.0,5745526.0,5824065.0,5903039.0,5982526.0,6062454.0,6142733.0,6223240.0,6303974.0,6384855.0,6465513.0,6465513.0
Norway,4768212.0,4828726.0,4889252.0,4953088.0,5018573.0,5079623.0,5137232.0,5188607.0,5234519.0,5276968.0,5314336.0,5314336.0
Nepal,26666576.0,26883535.0,27013212.0,27041437.0,26989862.0,26917906.0,26906926.0,27015031.0,27261131.0,27627124.0,28087871.0,28087871.0
New Zealand,4259800.0,4302600.0,4350700.0,4384000.0,4408100.0,4442100.0,4509700.0,4595700.0,4693200.0,4793900.0,4885500.0,4885500.0
Oman,2750963.0,2876186.0,3041434.0,3251108.0,3498029.0,3764805.0,4027260.0,4267348.0,4479219.0,4665935.0,4829483.0,4829483.0
Pakistan,171648986.0,175525609.0,179424641.0,183340592.0,187281475.0,191262919.0,195306825.0,199426964.0,203627284.0,207896686.0,212215030.0,212215030.0
Panama,3516204.0,3579215.0,3642687.0,3706483.0,3770624.0,3835437.0,3901315.0,3968487.0,4037078.0,4106771.0,4176873.0,4176873.0
Peru,28562317.0,28792655.0,29027674.0,29264318.0,29506788.0,29773987.0,30090359.0,30470734.0,30926032.0,31444297.0,31989256.0,31989256.0
Philippines,90901965.0,92414158.0,93966780.0,95570047.0,97212638.0,98871552.0,100513138.0,102113212.0,103663927.0,105173264.0,106651922.0,106651922.0
Palau,18704.0,18285.0,17955.0,17745.0,17640.0,17606.0,17626.0,17665.0,17725.0,17808.0,17907.0,17907.0
Papua New Guinea,6976201.0,7144776.0,7310507.0,7472200.0,7631002.0,7788379.0,7946731.0,8107775.0,8271760.0,8438029.0,8606316.0,8606316.0
Poland,38125759.0,38151603.0,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37978548.0,37978548.0
Puerto Rico,3760866.0,3740410.0,3721525.0,3678732.0,3634488.0,3593077.0,3534874.0,3473166.0,3406495.0,3325001.0,3195153.0,3195153.0
Dem. People's Rep. Korea,24310142.0,24428341.0,24548836.0,24673385.0,24800612.0,24929452.0,25057752.0,25183833.0,25307744.0,25429985.0,25549819.0,25549819.0
Portugal,10558177.0,10568247.0,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10281762.0,10281762.0
Paraguay,6081296.0,6163972.0,6248020.0,6333976.0,6421512.0,6510276.0,6599526.0,6688746.0,6777872.0,6867062.0,6956071.0,6956071.0
West Bank and Gaza,3591977.0,3689099.0,3786161.0,3882986.0,3979998.0,4076708.0,4173398.0,4270092.0,4367088.0,4454805.0,4569087.0,4569087.0
Palestine,4055631.0,4055631.0,4055631.0,4150338.0,4245045.0,4339752.0,4434459.0,4529166.0,4635654.0,4747227.0,4862979.0,4862979.0
French Polynesia,264061.0,265254.0,266455.0,267698.0,268998.0,270328.0,271705.0,273124.0,274575.0,276103.0,277679.0,277679.0
Romania,20537875.0,20367487.0,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815481.0,19702332.0,19587491.0,19473936.0,19473936.0
Russia,142742350.0,142785342.0,142849449.0,142960868.0,143201676.0,143506911.0,143819666.0,144096870.0,144342396.0,144496740.0,144478050.0,144478050.0
Rwanda,9524534.0,9782770.0,10039338.0,10293331.0,10549678.0,10811543.0,11083635.0,11369071.0,11668818.0,11980937.0,12301939.0,12301939.0
Saudi Arabia,25888541.0,26630303.0,27421461.0,28267685.0,29155187.0,30052518.0,30916994.0,31717667.0,32442572.0,33099147.0,33699947.0,33699947.0
Sudan,33060837.0,33783788.0,34545013.0,35349681.0,36193783.0,37072550.0,37977655.0,38902950.0,39847440.0,40813396.0,41801533.0,41801533.0
Senegal,12004701.0,12335084.0,12678148.0,13033809.0,13401991.0,13782420.0,14174731.0,14578459.0,14993528.0,15419381.0,15854360.0,15854360.0
Solomon Islands,503360.0,515181.0,527861.0,541521.0,556064.0,571335.0,587079.0,603118.0,619437.0,636038.0,652858.0,652858.0
Sierra Leone,6133603.0,6272734.0,6415634.0,6563240.0,6712581.0,6863980.0,7017144.0,7171914.0,7328838.0,7488431.0,7650154.0,7650154.0
El Salvador,6131764.0,6157686.0,6183875.0,6210568.0,6237923.0,6266070.0,6295128.0,6325124.0,6356143.0,6388122.0,6420744.0,6420744.0
Somalia,11397188.0,11717692.0,12043883.0,12376302.0,12715510.0,13063706.0,13423576.0,13797201.0,14185613.0,14589119.0,15008154.0,15008154.0
